PROPERTY VALUE,ONTOLOGY TERM LABEL(S),ONTOLOGY TERM(S),ontology term URI
Aspidimorpha (Megaspidomorpha) angolensis,Aspidimorpha angolensis,NCBITaxon_2570910,http://purl.obolibrary.org/obo/NCBITaxon_2570910
Blackberry leaf mottle-associated virus,Blackberry leaf mottle associated virus,NCBITaxon_1966378,http://purl.obolibrary.org/obo/NCBITaxon_1966378
Blackcurrant leaf chlorosis associated virus,Black currant leaf chlorosis associated virus,NCBITaxon_1937789,http://purl.obolibrary.org/obo/NCBITaxon_1937789
Blackcurrant leafroll associated virus 1,Blackcurrant leafroll-associated virus 1,NCBITaxon_2292426,http://purl.obolibrary.org/obo/NCBITaxon_2292426
Blueberry green mosaic-associated virus,Blueberry mosaic associated virus,NCBITaxon_1520332,http://purl.obolibrary.org/obo/NCBITaxon_1520332
Bougainvillea spectabilis chlorotic vein-banding virus,Bougainvillea chlorotic vein banding virus,NCBITaxon_263892,http://purl.obolibrary.org/obo/NCBITaxon_263892
Burkholderia gladioli,Burkholderia gladioli,NCBITaxon_28095,http://purl.obolibrary.org/obo/NCBITaxon_28095
Camellia japonica Associated Emaravirus 1,Camellia japonica associated betaflexivirus 1,NCBITaxon_2686011,http://purl.obolibrary.org/obo/NCBITaxon_2686011
Camellia ringspot-associated virus 4,Camellia ringspot associated virus 4,NCBITaxon_2791164,http://purl.obolibrary.org/obo/NCBITaxon_2791164
Capillaureum caryovora,Capillaureum caryovorum,NCBITaxon_2421353,http://purl.obolibrary.org/obo/NCBITaxon_2421353
Ceroplastes cistudiformis,Ceroplastes cirripediformis,NCBITaxon_1585290,http://purl.obolibrary.org/obo/NCBITaxon_1585290
Citrus yellow mottle-associated virus,Citrus yellow mottle virus,NCBITaxon_2683043,http://purl.obolibrary.org/obo/NCBITaxon_2683043
Colletotrichum lupine,Colletotrichum lupini,NCBITaxon_145971,http://purl.obolibrary.org/obo/NCBITaxon_145971
Common oak ringspot-associated emaravirus,Common oak ringspot-associated virus,NCBITaxon_2742449,http://purl.obolibrary.org/obo/NCBITaxon_2742449
