PROPERTY VALUE,ONTOLOGY TERM LABEL(S),ONTOLOGY TERM(S),ontology term URI
Hibiscus yellow vein leaf curl virus,Hibiscus leaf curl virus,NCBITaxon_1283108,http://purl.obolibrary.org/obo/NCBITaxon_1283108
High Plains wheat mosaic virus,High Plains virus Co96,NCBITaxon_247483,http://purl.obolibrary.org/obo/NCBITaxon_247483
Hishimonus hamatus,Hishimonus hamatus,NCBITaxon_2682838,http://purl.obolibrary.org/obo/NCBITaxon_2682838
Hollyhock vein yellowing virus,Hollyhock yellow vein virus,NCBITaxon_2303390,http://purl.obolibrary.org/obo/NCBITaxon_2303390
Hop latent viroid,Hop latent viroid,NCBITaxon_12907,http://purl.obolibrary.org/obo/NCBITaxon_12907
Hop stunt viroid,Hop stunt viroid,NCBITaxon_12893,http://purl.obolibrary.org/obo/NCBITaxon_12893
Hoya tobamovirus 2,Hoya tobamovirus 2,NCBITaxon_2764945,http://purl.obolibrary.org/obo/NCBITaxon_2764945
Hydnoporia yasudae,Hydnoporia yasudae,NCBITaxon_1143009,http://purl.obolibrary.org/obo/NCBITaxon_1143009
Hylastes angustatus,Hylastes angustatus,NCBITaxon_1367339,http://purl.obolibrary.org/obo/NCBITaxon_1367339
Hylastes attenuatus,Hylastes attenuatus,NCBITaxon_471226,http://purl.obolibrary.org/obo/NCBITaxon_471226
Hylastes gracilis,Hylastes gracilis,NCBITaxon_1498066,http://purl.obolibrary.org/obo/NCBITaxon_1498066
Hylastes parallelus,Hylastes parallelus,NCBITaxon_1230763,http://purl.obolibrary.org/obo/NCBITaxon_1230763
Hylesia nigricans,Hylesia nigricans,NCBITaxon_1216696,http://purl.obolibrary.org/obo/NCBITaxon_1216696
Hylesinus cholodkovskyi,Hylesinus cholodkovskyi,NCBITaxon_1230765,http://purl.obolibrary.org/obo/NCBITaxon_1230765
Hylurgops porosus,Hylurgops porosus,NCBITaxon_1498067,http://purl.obolibrary.org/obo/NCBITaxon_1498067
Hylurgus micklitzi,Hylurgus micklitzi,NCBITaxon_167148,http://purl.obolibrary.org/obo/NCBITaxon_167148
Hymenoscyphus albidoides,Hymenoscyphus albidoides,NCBITaxon_1432382,http://purl.obolibrary.org/obo/NCBITaxon_1432382
Hypothenemus eruditus,Hypothenemus eruditus,NCBITaxon_141167,http://purl.obolibrary.org/obo/NCBITaxon_141167
Hypothenemus hampei,Hypothenemus hampei,NCBITaxon_57062,http://purl.obolibrary.org/obo/NCBITaxon_57062
Icerya aegyptiaca,Icerya aegyptiaca,NCBITaxon_479563,http://purl.obolibrary.org/obo/NCBITaxon_479563
Icerya purchasi,Icerya purchasi,NCBITaxon_249532,http://purl.obolibrary.org/obo/NCBITaxon_249532
Icerya seychellarum,Icerya seychellarum,NCBITaxon_479575,http://purl.obolibrary.org/obo/NCBITaxon_479575
Igutettix oculatus,Igutettix oculatus,NCBITaxon_2882171,http://purl.obolibrary.org/obo/NCBITaxon_2882171
Ilyonectria mors-panacis,Ilyonectria mors-panacis,NCBITaxon_1079131,http://purl.obolibrary.org/obo/NCBITaxon_1079131
Indian citrus ringspot virus,Indian citrus ringspot virus,NCBITaxon_104664,http://purl.obolibrary.org/obo/NCBITaxon_104664
Inonotus glomeratus,Inonotus glomeratus,NCBITaxon_120825,http://purl.obolibrary.org/obo/NCBITaxon_120825
Ips apache,Ips apache,NCBITaxon_102823,http://purl.obolibrary.org/obo/NCBITaxon_102823
Ips bonanseai,Ips bonanseai,NCBITaxon_102825,http://purl.obolibrary.org/obo/NCBITaxon_102825
Ips hoppingi,Ips hoppingi,NCBITaxon_102834,http://purl.obolibrary.org/obo/NCBITaxon_102834
Ips knausi,Ips knausi,NCBITaxon_102837,http://purl.obolibrary.org/obo/NCBITaxon_102837
Ips nitidus,Ips nitidus,NCBITaxon_432259,http://purl.obolibrary.org/obo/NCBITaxon_432259
Ips schmutzenhoferi,Ips schmutzenhoferi,NCBITaxon_102848,http://purl.obolibrary.org/obo/NCBITaxon_102848
Ips shangrila,Ips shangrila,NCBITaxon_432260,http://purl.obolibrary.org/obo/NCBITaxon_432260
Ips stebbingi,Ips stebbingi,NCBITaxon_102850,http://purl.obolibrary.org/obo/NCBITaxon_102850
Iresine viroid 1,Iresine viroid 1,NCBITaxon_53193,http://purl.obolibrary.org/obo/NCBITaxon_53193
Isyndus obscurus,Isyndus obscurus,NCBITaxon_184615,http://purl.obolibrary.org/obo/NCBITaxon_184615
Ivy ringspot-associated virus,Ivy ringspot-associated virus,NCBITaxon_2731270,http://purl.obolibrary.org/obo/NCBITaxon_2731270
Jasmine Virus C,Jasmine virus C,NCBITaxon_1853762,http://purl.obolibrary.org/obo/NCBITaxon_1853762
Kalmusia variispora,Kalmusia variispora,NCBITaxon_1985348,http://purl.obolibrary.org/obo/NCBITaxon_1985348
Klebsiella michiganensis,Klebsiella michiganensis,NCBITaxon_1134687,http://purl.obolibrary.org/obo/NCBITaxon_1134687
Kolla paulula,Kolla paulula,NCBITaxon_700811,http://purl.obolibrary.org/obo/NCBITaxon_700811
Kosakonia cowanii,Kosakonia cowanii,NCBITaxon_208223,http://purl.obolibrary.org/obo/NCBITaxon_208223
Kuwanaspis howardi,Kuwanaspis howardi,NCBITaxon_2038852,http://purl.obolibrary.org/obo/NCBITaxon_2038852
Lagria villosa,Lagria villosa,NCBITaxon_1337086,http://purl.obolibrary.org/obo/NCBITaxon_1337086
Lambdina fiscellaria,Lambdina fiscellaria,NCBITaxon_84293,http://purl.obolibrary.org/obo/NCBITaxon_84293
Lambdina fiscellaria lugubrosa,Lambdina fiscellaria lugubrosa,NCBITaxon_84296,http://purl.obolibrary.org/obo/NCBITaxon_84296
Lasiodiplodia guilinensis,Lasiodiplodia guilinensis,NCBITaxon_2951188,http://purl.obolibrary.org/obo/NCBITaxon_2951188
Lasiodiplodia hormozganensis,Lasiodiplodia hormozganensis,NCBITaxon_869390,http://purl.obolibrary.org/obo/NCBITaxon_869390
Lasiodiplodia huangyanensis,Lasiodiplodia huangyanensis,NCBITaxon_2823449,http://purl.obolibrary.org/obo/NCBITaxon_2823449
Lasiodiplodia linhaiensis,Lasiodiplodia linhaiensis,NCBITaxon_2951189,http://purl.obolibrary.org/obo/NCBITaxon_2951189
Lasiodiplodia ponkanicola,Lasiodiplodia ponkanicola,NCBITaxon_2951190,http://purl.obolibrary.org/obo/NCBITaxon_2951190
Lasiodiplodia pseudotheobromae,Lasiodiplodia pseudotheobromae,NCBITaxon_466954,http://purl.obolibrary.org/obo/NCBITaxon_466954
Lasiodiplodia theobromae,Lasiodiplodia theobromae,NCBITaxon_45133,http://purl.obolibrary.org/obo/NCBITaxon_45133
Lasiodiplodia vaccinii,Lasiodiplodia vaccinii,NCBITaxon_2590749,http://purl.obolibrary.org/obo/NCBITaxon_2590749
Lasioptera tomaticola,Lasioptera tomaticola,NCBITaxon_2684870,http://purl.obolibrary.org/obo/NCBITaxon_2684870
Lasioptera yoichiensis,Lasioptera yoichiensis,NCBITaxon_2684873,http://purl.obolibrary.org/obo/NCBITaxon_2684873
Lecanosticta acicola,Lecanosticta acicola,NCBITaxon_111012,http://purl.obolibrary.org/obo/NCBITaxon_111012
Lema bilineata,Lema bilineata,NCBITaxon_2704967,http://purl.obolibrary.org/obo/NCBITaxon_2704967
Lepidosaphes gloverii,Lepidosaphes gloverii,NCBITaxon_340579,http://purl.obolibrary.org/obo/NCBITaxon_340579
Lepidosaphes malicola,Lepidosaphes malicola,NCBITaxon_2530447,http://purl.obolibrary.org/obo/NCBITaxon_2530447
Leptocybe invasa,Leptocybe invasa,NCBITaxon_1028344,http://purl.obolibrary.org/obo/NCBITaxon_1028344
Leptoglossus gonagra,Leptoglossus gonagra,NCBITaxon_1228018,http://purl.obolibrary.org/obo/NCBITaxon_1228018
Lettuce mosaic virus,Lettuce mosaic virus,NCBITaxon_12202,http://purl.obolibrary.org/obo/NCBITaxon_12202
Lettuce necrotic leaf curl virus,Lettuce necrotic leaf curl virus,NCBITaxon_1358807,http://purl.obolibrary.org/obo/NCBITaxon_1358807
Leucaenicola osmanthi,Leucaenicola osmanthi,NCBITaxon_2732959,http://purl.obolibrary.org/obo/NCBITaxon_2732959
Leucinodes africensis,Leucinodes africensis,NCBITaxon_1565257,http://purl.obolibrary.org/obo/NCBITaxon_1565257
Leucinodes kenyensis,Leucinodes kenyensis,NCBITaxon_1565258,http://purl.obolibrary.org/obo/NCBITaxon_1565258
Leucinodes laisalis,Leucinodes laisalis,NCBITaxon_1565262,http://purl.obolibrary.org/obo/NCBITaxon_1565262
Leucinodes malawiensis,Leucinodes malawiensis,NCBITaxon_1565259,http://purl.obolibrary.org/obo/NCBITaxon_1565259
Leucinodes orbonalis,Leucinodes orbonalis,NCBITaxon_711050,http://purl.obolibrary.org/obo/NCBITaxon_711050
Leucinodes pseudorbonalis,Leucinodes pseudorbonalis,NCBITaxon_1565260,http://purl.obolibrary.org/obo/NCBITaxon_1565260
Leucinodes rimavallis,Leucinodes rimavallis,NCBITaxon_1565261,http://purl.obolibrary.org/obo/NCBITaxon_1565261
Ligustrum necrotic ringspot virus,Ligustrum necrotic ringspot virus,NCBITaxon_478550,http://purl.obolibrary.org/obo/NCBITaxon_478550
Ligustrum virus A,Ligustrum virus A,NCBITaxon_1899566,http://purl.obolibrary.org/obo/NCBITaxon_1899566
Liriomyza cannabis,Cannabis,OMIT_0003527,http://purl.obolibrary.org/obo/OMIT_0003527
Liriomyza chinensis,Liriomyza chinensis,NCBITaxon_237616,http://purl.obolibrary.org/obo/NCBITaxon_237616
Liriomyza huidobrensis,Liriomyza huidobrensis,NCBITaxon_127405,http://purl.obolibrary.org/obo/NCBITaxon_127405
Liriomyza trifolii,Liriomyza trifolii,NCBITaxon_198433,http://purl.obolibrary.org/obo/NCBITaxon_198433
Listronotus maculicollis,Listronotus maculicollis,NCBITaxon_2051961,http://purl.obolibrary.org/obo/NCBITaxon_2051961
Listronotus oregonensis,Listronotus oregonensis,NCBITaxon_412987,http://purl.obolibrary.org/obo/NCBITaxon_412987
Lithosia quadra,Lithosia quadra,NCBITaxon_987974,http://purl.obolibrary.org/obo/NCBITaxon_987974
Litylenchus crenatae,Litylenchus crenatae,NCBITaxon_2200850,http://purl.obolibrary.org/obo/NCBITaxon_2200850
Lobiopa insularis,Lobiopa insularis,NCBITaxon_1970893,http://purl.obolibrary.org/obo/NCBITaxon_1970893
Lonsdalea populi,Lonsdalea populi,NCBITaxon_1172565,http://purl.obolibrary.org/obo/NCBITaxon_1172565
Lonsdalea quercina,Lonsdalea quercina,NCBITaxon_71657,http://purl.obolibrary.org/obo/NCBITaxon_71657
Lophodermium kumaunicum,Lophodermium kumaunicum,NCBITaxon_528575,http://purl.obolibrary.org/obo/NCBITaxon_528575
Lophodermium pini-excelsae,Lophodermium pini-excelsae,NCBITaxon_509228,http://purl.obolibrary.org/obo/NCBITaxon_509228
Loquat virus A,Loquat virus A,NCBITaxon_2683823,http://purl.obolibrary.org/obo/NCBITaxon_2683823
Luffa aphid-borne yellows virus,Luffa aphid-borne yellows virus,NCBITaxon_1462682,http://purl.obolibrary.org/obo/NCBITaxon_1462682
Lygus lineolaris,Lygus lineolaris,NCBITaxon_50650,http://purl.obolibrary.org/obo/NCBITaxon_50650
Lymantria mathura,Lymantria mathura,NCBITaxon_335468,http://purl.obolibrary.org/obo/NCBITaxon_335468
Maconellicoccus hirsutus,Maconellicoccus hirsutus,NCBITaxon_177089,http://purl.obolibrary.org/obo/NCBITaxon_177089
Macrochlamys indica,Macrochlamys indica,NCBITaxon_424233,http://purl.obolibrary.org/obo/NCBITaxon_424233
Macrohomotoma gladiata,Macrohomotoma gladiata,NCBITaxon_1585365,http://purl.obolibrary.org/obo/NCBITaxon_1585365
Macrophomina euphorbiicola,Macrophomina euphorbiicola,NCBITaxon_2203076,http://purl.obolibrary.org/obo/NCBITaxon_2203076
Macrophomina pseudophaseolina,Macrophomina pseudophaseolina,NCBITaxon_1435034,http://purl.obolibrary.org/obo/NCBITaxon_1435034
Macrophomina tecta,Macrophomina tecta,NCBITaxon_2811287,http://purl.obolibrary.org/obo/NCBITaxon_2811287
Macrophomina vaccinii,Macrophomina vaccinii,NCBITaxon_2594779,http://purl.obolibrary.org/obo/NCBITaxon_2594779
Macroposthonia iqbali,Criconematidae cf. Macroposthonia sp. TSH-2009,NCBITaxon_619223,http://purl.obolibrary.org/obo/NCBITaxon_619223
Macrosaccus morrisella,Macrosaccus morrisella,NCBITaxon_1887496,http://purl.obolibrary.org/obo/NCBITaxon_1887496
Macrosiphoniella pseudoartemisiae,Macrosiphoniella pseudoartemisiae,NCBITaxon_796236,http://purl.obolibrary.org/obo/NCBITaxon_796236
Maize chlorotic mottle virus,Maize chlorotic mottle virus,NCBITaxon_12138,http://purl.obolibrary.org/obo/NCBITaxon_12138
Maize dwarf mosaic virus,Maize dwarf mosaic virus,NCBITaxon_12203,http://purl.obolibrary.org/obo/NCBITaxon_12203
Maize Lethal Necrosis Disease,Maize lethal necrosis severity,CO_322:0000182,http://www.cropontology.org/rdf/CO_322:0000182
Maize striate mosaic virus,Maize striate mosaic virus,NCBITaxon_2025388,http://purl.obolibrary.org/obo/NCBITaxon_2025388
Maize stripe virus,Maize stripe tenuivirus,NCBITaxon_12330,http://purl.obolibrary.org/obo/NCBITaxon_12330
Maize yellow mosaic virus,Maize yellow mosaic virus,NCBITaxon_1856642,http://purl.obolibrary.org/obo/NCBITaxon_1856642
Maize-associated pteridovirus,Maize-associated pteridovirus,NCBITaxon_2497338,http://purl.obolibrary.org/obo/NCBITaxon_2497338
Malacosoma americanum,Malacosoma americanum,NCBITaxon_7099,http://purl.obolibrary.org/obo/NCBITaxon_7099
Malacosoma disstria,Malacosoma disstria,NCBITaxon_40071,http://purl.obolibrary.org/obo/NCBITaxon_40071
Malus domestica virus A,Malus domestica virus A,NCBITaxon_2664236,http://purl.obolibrary.org/obo/NCBITaxon_2664236
Malva vein clearing virus,Malva vein clearing virus,NCBITaxon_565624,http://purl.obolibrary.org/obo/NCBITaxon_565624
Malvastrum yellow vein Baoshan Virus,Malvastrum yellow vein Baoshan virus,NCBITaxon_642493,http://purl.obolibrary.org/obo/NCBITaxon_642493
Malvastrum yellow vein Cambodia virus,Malvastrum yellow vein Cambodia virus,NCBITaxon_1633139,http://purl.obolibrary.org/obo/NCBITaxon_1633139
Malvastrum yellow vein Honghe virus,Malvastrum yellow vein Honghe virus,NCBITaxon_676044,http://purl.obolibrary.org/obo/NCBITaxon_676044
Maple mottle-associated virus,Maple mottle-associated virus,NCBITaxon_2778521,http://purl.obolibrary.org/obo/NCBITaxon_2778521
Marasmius palmivorus,Marasmius palmivorus,NCBITaxon_297713,http://purl.obolibrary.org/obo/NCBITaxon_297713
Marchalina hellenica,Marchalina hellenica,NCBITaxon_371960,http://purl.obolibrary.org/obo/NCBITaxon_371960
Martininema semicordatae,Martininema semicordatae,NCBITaxon_2651736,http://purl.obolibrary.org/obo/NCBITaxon_2651736
Maruca vitrata,Maruca vitrata,NCBITaxon_497515,http://purl.obolibrary.org/obo/NCBITaxon_497515
Matsucoccus feytaudi,Matsucoccus feytaudi,NCBITaxon_380378,http://purl.obolibrary.org/obo/NCBITaxon_380378
Matsucoccus matsumurae,Matsucoccus matsumurae,NCBITaxon_2259661,http://purl.obolibrary.org/obo/NCBITaxon_2259661
Medythia nigrobilineata,Medythia nigrobilineata,NCBITaxon_701779,http://purl.obolibrary.org/obo/NCBITaxon_701779
Megacopta cribraria,Megacopta cribraria,NCBITaxon_299257,http://purl.obolibrary.org/obo/NCBITaxon_299257
Megalurothrips usitatus,Megalurothrips usitatus,NCBITaxon_439358,http://purl.obolibrary.org/obo/NCBITaxon_439358
Megaplatypus mutatus,Megaplatypus mutatus,NCBITaxon_1886638,http://purl.obolibrary.org/obo/NCBITaxon_1886638
Megaselia scalaris,Megaselia scalaris,NCBITaxon_36166,http://purl.obolibrary.org/obo/NCBITaxon_36166
Melanagromyza sojae,Melanagromyza sojae,NCBITaxon_1838149,http://purl.obolibrary.org/obo/NCBITaxon_1838149
Meloidogyne aegracyperi,Meloidogyne aegracyperi,NCBITaxon_2587230,http://purl.obolibrary.org/obo/NCBITaxon_2587230
Meloidogyne arenaria,Meloidogyne arenaria,NCBITaxon_6304,http://purl.obolibrary.org/obo/NCBITaxon_6304
Meloidogyne daklakensis,Meloidogyne daklakensis,NCBITaxon_1848026,http://purl.obolibrary.org/obo/NCBITaxon_1848026
Meloidogyne ethiopica,Meloidogyne ethiopica,NCBITaxon_325748,http://purl.obolibrary.org/obo/NCBITaxon_325748
Meloidogyne floridensis,Meloidogyne floridensis,NCBITaxon_298350,http://purl.obolibrary.org/obo/NCBITaxon_298350
Meloidogyne graminicola,Meloidogyne graminicola,NCBITaxon_189291,http://purl.obolibrary.org/obo/NCBITaxon_189291
Meloidogyne hapla,Meloidogyne hapla,NCBITaxon_6305,http://purl.obolibrary.org/obo/NCBITaxon_6305
Meloidogyne haplanaria,Meloidogyne haplanaria,NCBITaxon_299424,http://purl.obolibrary.org/obo/NCBITaxon_299424
Meloidogyne luci,Meloidogyne luci,NCBITaxon_1585531,http://purl.obolibrary.org/obo/NCBITaxon_1585531
Meloidogyne mali,Meloidogyne mali,NCBITaxon_537484,http://purl.obolibrary.org/obo/NCBITaxon_537484
Meloidogyne microcephala,Microcephala,NCBITaxon_99081,http://purl.obolibrary.org/obo/NCBITaxon_99081
Meloidogyne moensi,Meloidogyne,NCBITaxon_189290,http://purl.obolibrary.org/obo/NCBITaxon_189290
Meloidogyne morocciensis,Meloidogyne morocciensis,NCBITaxon_325749,http://purl.obolibrary.org/obo/NCBITaxon_325749
Meloidogyne paranaensis,Meloidogyne paranaensis,NCBITaxon_189293,http://purl.obolibrary.org/obo/NCBITaxon_189293
Meloidogyne suginamiensis,Meloidogyne suginamiensis,NCBITaxon_2591681,http://purl.obolibrary.org/obo/NCBITaxon_2591681
Meloidogyne vitis,Meloidogyne,NCBITaxon_189290,http://purl.obolibrary.org/obo/NCBITaxon_189290
Melon yellow mosaic virus,Melon yellow mosaic virus,NCBITaxon_2575594,http://purl.obolibrary.org/obo/NCBITaxon_2575594
Mesocriconema curvatum,Mesocriconema curvatum,NCBITaxon_312904,http://purl.obolibrary.org/obo/NCBITaxon_312904
Mesocriconema ornatum,Mesocriconema ornatum,NCBITaxon_313715,http://purl.obolibrary.org/obo/NCBITaxon_313715
Mesocriconema xenoplax,Mesocriconema xenoplax,NCBITaxon_211171,http://purl.obolibrary.org/obo/NCBITaxon_211171
Metamasius hemipterus,Metamasius hemipterus,NCBITaxon_206459,http://purl.obolibrary.org/obo/NCBITaxon_206459
Microperus quercicola,Microperus quercicola,NCBITaxon_2709636,http://purl.obolibrary.org/obo/NCBITaxon_2709636
Milk vetch dwarf virus,Milk vetch dwarf virus,NCBITaxon_67585,http://purl.obolibrary.org/obo/NCBITaxon_67585
Mint vein banding-associated virus,Mint vein banding-associated virus,NCBITaxon_265877,http://purl.obolibrary.org/obo/NCBITaxon_265877
Mirabilis crinkle mosaic virus,Mirabilis crinkle mosaic virus,NCBITaxon_2775266,http://purl.obolibrary.org/obo/NCBITaxon_2775266
Miscanthus sinensis mosaic virus,Miscanthus sinensis mosaic virus,NCBITaxon_2951733,http://purl.obolibrary.org/obo/NCBITaxon_2951733
Mocis latipes,Mocis latipes,NCBITaxon_709164,http://purl.obolibrary.org/obo/NCBITaxon_709164
Moneilema variolare,Moneilema variolare,NCBITaxon_2704486,http://purl.obolibrary.org/obo/NCBITaxon_2704486
Monilinia laxa,Monilinia laxa,NCBITaxon_61186,http://purl.obolibrary.org/obo/NCBITaxon_61186
Moniliophthora perniciosa,Moniliophthora perniciosa,NCBITaxon_153609,http://purl.obolibrary.org/obo/NCBITaxon_153609
Moniliophthora roreri,Moniliophthora roreri,NCBITaxon_221103,http://purl.obolibrary.org/obo/NCBITaxon_221103
Monochamus dubius,Monochamus,NCBITaxon_192381,http://purl.obolibrary.org/obo/NCBITaxon_192381
Monochamus guerryi,Monochamus guerryi,NCBITaxon_537309,http://purl.obolibrary.org/obo/NCBITaxon_537309
Monographella maydis,Monographella,NCBITaxon_87748,http://purl.obolibrary.org/obo/NCBITaxon_87748
Monoxia obesula,Monoxia obesula,NCBITaxon_2599477,http://purl.obolibrary.org/obo/NCBITaxon_2599477
Morning glory varicosavirus,morning glory varicosavirus,NCBITaxon_2946038,http://purl.obolibrary.org/obo/NCBITaxon_2946038
Moroccan pepper virus,Moroccan pepper virus,NCBITaxon_208086,http://purl.obolibrary.org/obo/NCBITaxon_208086
Mulberry mosaic dwarf associated virus,Mulberry mosaic dwarf associated virus,NCBITaxon_1631303,http://purl.obolibrary.org/obo/NCBITaxon_1631303
Mume Virus A,Mume virus A,NCBITaxon_2137858,http://purl.obolibrary.org/obo/NCBITaxon_2137858
Muntingia yellow spot virus,Muntingia yellow spot virus,NCBITaxon_2826945,http://purl.obolibrary.org/obo/NCBITaxon_2826945
Muscari chlorotic mottle virus,Muscari chlorotic mottle virus,NCBITaxon_2729572,http://purl.obolibrary.org/obo/NCBITaxon_2729572
Myrtoporthe bodenii,Myrtoporthe bodenii,NCBITaxon_2219668,http://purl.obolibrary.org/obo/NCBITaxon_2219668
Mythimna separata,Mythimna separata,NCBITaxon_271217,http://purl.obolibrary.org/obo/NCBITaxon_271217
Myxia belinda,Myxia belinda,NCBITaxon_2597631,http://purl.obolibrary.org/obo/NCBITaxon_2597631
Myzus mumecola,Myzus mumecola,NCBITaxon_1216096,http://purl.obolibrary.org/obo/NCBITaxon_1216096
Naupactus cervinus,Naupactus cervinus,NCBITaxon_122851,http://purl.obolibrary.org/obo/NCBITaxon_122851
Naupactus xanthographus,Naupactus xanthographus,NCBITaxon_114905,http://purl.obolibrary.org/obo/NCBITaxon_114905
Nectarine stem pitting associated virus,Nectarine stem pitting associated virus,NCBITaxon_2560614,http://purl.obolibrary.org/obo/NCBITaxon_2560614
NECTARINE VIRUS M,Nectarine marafivirus M,NCBITaxon_1778580,http://purl.obolibrary.org/obo/NCBITaxon_1778580
Nematospora coryli,Genus Nematospora (organism),36200001,http://snomed.info/id/36200001
Neoceratitis cyanescens,Neoceratitis cyanescens,NCBITaxon_194920,http://purl.obolibrary.org/obo/NCBITaxon_194920
Neodiprion abietis,Neodiprion abietis,NCBITaxon_441913,http://purl.obolibrary.org/obo/NCBITaxon_441913
Neodiprion excitans,Neodiprion excitans,NCBITaxon_441918,http://purl.obolibrary.org/obo/NCBITaxon_441918
Neodiprion qinghaiicus,Neodiprion qinghaiicus,NCBITaxon_2875978,http://purl.obolibrary.org/obo/NCBITaxon_2875978
Neodothiora populina,Neodothiora populina,NCBITaxon_2781224,http://purl.obolibrary.org/obo/NCBITaxon_2781224
Neofusicoccum australe,Neofusicoccum australe,NCBITaxon_240362,http://purl.obolibrary.org/obo/NCBITaxon_240362
Neofusicoccum batangarum,Neofusicoccum batangarum,NCBITaxon_707886,http://purl.obolibrary.org/obo/NCBITaxon_707886
Neofusicoccum hellenicum,Neofusicoccum hellenicum,NCBITaxon_1657911,http://purl.obolibrary.org/obo/NCBITaxon_1657911
Neofusicoccum kwambonambiense,Neofusicoccum kwambonambiense,NCBITaxon_643001,http://purl.obolibrary.org/obo/NCBITaxon_643001
Neofusicoccum luteum,Neofusicoccum luteum,NCBITaxon_120395,http://purl.obolibrary.org/obo/NCBITaxon_120395
Neofusicoccum mediterraneum,Neofusicoccum mediterraneum,NCBITaxon_467987,http://purl.obolibrary.org/obo/NCBITaxon_467987
Neofusicoccum ribis,Neofusicoccum ribis,NCBITaxon_45134,http://purl.obolibrary.org/obo/NCBITaxon_45134
Neofusicoccum stellenboschiana,Neofusicoccum stellenboschiana,NCBITaxon_1873946,http://purl.obolibrary.org/obo/NCBITaxon_1873946
Neofusicoccum vaccinii,Neofusicoccum,NCBITaxon_407951,http://purl.obolibrary.org/obo/NCBITaxon_407951
Neomaskellia andropogonis,Neomaskellia andropogonis,NCBITaxon_266944,http://purl.obolibrary.org/obo/NCBITaxon_266944
Neonectria neomacrospora,Neonectria neomacrospora,NCBITaxon_78403,http://purl.obolibrary.org/obo/NCBITaxon_78403
Neopestalotiopsis hydeana,Neopestalotiopsis hydeana,NCBITaxon_2787862,http://purl.obolibrary.org/obo/NCBITaxon_2787862
Neopestalotiopsis mesopotamica,Neopestalotiopsis mesopotamica,NCBITaxon_1562200,http://purl.obolibrary.org/obo/NCBITaxon_1562200
Neopestalotiopsis rosae,Neopestalotiopsis rosae,NCBITaxon_1562205,http://purl.obolibrary.org/obo/NCBITaxon_1562205
Neophysopella tropicalis,Neophysopella tropicalis,NCBITaxon_2729082,http://purl.obolibrary.org/obo/NCBITaxon_2729082
Neoplerochila paliatseasi,Neoplerochila paliatseasi,NCBITaxon_2704509,http://purl.obolibrary.org/obo/NCBITaxon_2704509
Neoscytalidium dimidiatum,Neoscytalidium dimidiatum,NCBITaxon_108428,http://purl.obolibrary.org/obo/NCBITaxon_108428
Neoscytalidium novaehollandiae,Neoscytalidium novaehollandiae,NCBITaxon_463685,http://purl.obolibrary.org/obo/NCBITaxon_463685
Neospermospora avenae,Neospermospora avenae,NCBITaxon_2081332,http://purl.obolibrary.org/obo/NCBITaxon_2081332
Nesodiprion japonicus,Nesodiprion japonicus,NCBITaxon_2869049,http://purl.obolibrary.org/obo/NCBITaxon_2869049
Nightshade curly top virus,Nightshade curly top virus,NCBITaxon_2759366,http://purl.obolibrary.org/obo/NCBITaxon_2759366
Nigrospora oryzae,Nigrospora oryzae,NCBITaxon_335854,http://purl.obolibrary.org/obo/NCBITaxon_335854
Nilaparvata lugens,Nilaparvata lugens,NCBITaxon_108931,http://purl.obolibrary.org/obo/NCBITaxon_108931
Nipaecoccus viridis,Nipaecoccus viridis,NCBITaxon_249496,http://purl.obolibrary.org/obo/NCBITaxon_249496
Nipponaclerda biwakoensis,Nipponaclerda biwakoensis,NCBITaxon_1661417,http://purl.obolibrary.org/obo/NCBITaxon_1661417
Noni mosaic virus,Noni mosaic virus,NCBITaxon_2608606,http://purl.obolibrary.org/obo/NCBITaxon_2608606
Nothophoma quercina,Nothophoma quercina,NCBITaxon_749835,http://purl.obolibrary.org/obo/NCBITaxon_749835
Ochraceocephala foeniculi,Ochraceocephala foeniculi,NCBITaxon_2650808,http://purl.obolibrary.org/obo/NCBITaxon_2650808
Ocimum golden mosaic virus,Ocimum golden mosaic virus,NCBITaxon_2664940,http://purl.obolibrary.org/obo/NCBITaxon_2664940
Ocimum mosaic virus,Ocimum mosaic virus,NCBITaxon_2664941,http://purl.obolibrary.org/obo/NCBITaxon_2664941
Octodonta nipae,Octodonta nipae,NCBITaxon_1432747,http://purl.obolibrary.org/obo/NCBITaxon_1432747
Oebalus pugnax,Oebalus pugnax,NCBITaxon_1328209,http://purl.obolibrary.org/obo/NCBITaxon_1328209
Oecleus mackaspringi,Oecleus mackaspringi,NCBITaxon_2608615,http://purl.obolibrary.org/obo/NCBITaxon_2608615
Oecleus sergipensis,Oecleus sergipensis,NCBITaxon_2483119,http://purl.obolibrary.org/obo/NCBITaxon_2483119
Olepa koslandana,Olepa koslandana,NCBITaxon_2070398,http://purl.obolibrary.org/obo/NCBITaxon_2070398
Oligonychus perseae,Oligonychus perseae,NCBITaxon_392232,http://purl.obolibrary.org/obo/NCBITaxon_392232
Onnia orientalis,Onnia orientalis,NCBITaxon_271455,http://purl.obolibrary.org/obo/NCBITaxon_271455
Ooencyrtus nezarae,Ooencyrtus nezarae,NCBITaxon_2022689,http://purl.obolibrary.org/obo/NCBITaxon_2022689
Ophiognomonia clavigignenti-juglandacearum,Ophiognomonia clavigignenti-juglandacearum,NCBITaxon_218668,http://purl.obolibrary.org/obo/NCBITaxon_218668
